Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2016-12-07,1.6843,1.6889,1.66,1.6646,71419,1.6184,211380,102590,425124,201701
2016-12-06,1.6929,1.7064,1.6734,1.6841,64715,1.6379,161898,106468,410034,201701
2016-12-05,1.7023,1.7236,1.689,1.7033,70649,1.6571,203184,110906,405690,201701
2016-12-02,1.6916,1.7093,1.6701,1.7043,62591,1.6581,160858,107425,401192,201701
2016-12-01,1.6142,1.7096,1.6121,1.6941,80622,1.6479,234715,105468,394337,201701
2016-11-30,1.526,1.6404,1.5211,1.6225,96793,1.5763,227373,110619,392008,201701
2016-11-29,1.5669,1.5725,1.5146,1.524,64593,1.4778,145678,106634,388453,201701
2016-11-28,1.5281,1.5872,1.5038,1.5747,70330,1.5285,166330,104836,395123,201701
2016-11-25,1.58,1.5902,1.5276,1.5324,34901,1.4862,85097,105152,398644,201701
2016-11-23,1.5874,1.6079,1.5761,1.5792,64355,1.533,182664,103415,400005,201701
2016-11-22,1.5929,1.6146,1.5682,1.5868,60781,1.5406,170757,103181,398285,201701
2016-11-21,1.526,1.5924,1.5206,1.5823,56673,1.5361,162579,101211,404138,201701
2016-11-18,1.496,1.5245,1.4874,1.5147,52034,1.4685,160511,101109,406601,201701
2016-11-17,1.4889,1.5314,1.4883,1.5044,35701,1.4582,140710,99324,405936,201701
2016-11-16,1.5042,1.5142,1.4845,1.4943,27193,1.4481,115952,96949,405661,201701
2016-11-15,1.4537,1.5128,1.4471,1.5042,36064,1.458,161634,96389,404085,201701
2016-11-14,1.4589,1.4663,1.4351,1.4468,29153,1.4006,132370,93230,399979,201701
2016-11-11,1.4945,1.4977,1.4516,1.4637,35620,1.4175,155849,92514,398437,201701
2016-11-10,1.5127,1.5176,1.4869,1.4995,37771,1.4533,168889,91270,395650,201701
2016-11-09,1.5061,1.5251,1.4698,1.5068,44002,1.4606,190209,88139,389401,201701
2016-11-08,1.5103,1.5179,1.4919,1.5074,39193,1.4612,146915,88427,392006,201701
2016-11-07,1.5088,1.5165,1.4901,1.506,29785,1.4598,123204,84621,389197,201701
2016-11-04,1.5212,1.5271,1.4905,1.4954,33598,1.4492,147798,81606,386242,201701
2016-11-03,1.5273,1.5419,1.5118,1.5222,27177,1.476,129929,81617,387652,201701
2016-11-02,1.5797,1.5797,1.5174,1.5318,47112,1.4856,221378,81293,392354,201701
2016-11-01,1.5719,1.6276,1.562,1.5769,102845,1.5307,381675,80180,386392,201701
2016-10-31,1.6161,1.6313,1.5662,1.5678,32831,1.5216,156879,80561,402072,201701
2016-10-28,1.6439,1.6482,1.6124,1.6228,23516,1.5766,139908,82163,406568,201701
