Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2016-07-26,998.75,1015.75,995.75,1006.5,99963,973.75,185194,384861,702484,201611
2016-07-25,1012,1024.5,995.75,999,149451,966.25,306023,385094,710282,201611
2016-07-22,1047.5,1049.25,999,1021,169452,988.25,303015,390440,725265,201611
2016-07-21,1040,1057.5,1037.25,1045.25,115820,1012.5,185747,401840,764020,201611
2016-07-20,1062.75,1071.25,1037.25,1041.75,144759,1009,238690,406627,771268,201611
2016-07-19,1096.75,1097.75,1055.75,1060.5,149688,1027.75,269463,407749,771578,201611
2016-07-18,1079.5,1102.5,1066.25,1099,143712,1066.25,244465,405982,770936,201611
2016-07-15,1095,1112,1065.25,1090,167766,1057.25,259269,403984,769560,201611
2016-07-14,1138.75,1155.75,1092,1095,177339,1062.25,295969,405944,770095,201611
2016-07-13,1127.5,1152.25,1113.75,1138,138443,1105.25,232060,409766,768892,201611
2016-07-12,1090.25,1121.25,1084,1119.75,145721,1087,239939,404985,766037,201611
2016-07-11,1104.75,1110,1083.5,1087.75,121947,1055,190738,399201,756771,201611
2016-07-08,1057.5,1092,1053.75,1090.5,115045,1057.75,190137,404341,762827,201611
2016-07-07,1107.75,1119.75,1055.75,1057.5,182075,1024.75,290551,405403,762532,201611
2016-07-06,1110.75,1114.25,1073.25,1106,169803,1073.25,310192,404541,757342,201611
2016-07-05,1152.75,1152.75,1106.25,1110,161064,1077.25,271682,410771,758851,201611
2016-07-01,1185.75,1190.25,1169,1170.25,106848,1137.5,186499,428587,778228,201611
2016-06-30,1145.25,1193.5,1124.75,1186,223512,1153.25,403513,435825,783575,201611
2016-06-29,1152.5,1158.25,1140.75,1145.25,100629,1112.5,213148,422608,768890,201611
2016-06-28,1135.5,1169.5,1132.75,1153,116871,1120.25,252068,424426,781072,201611
2016-06-27,1111.25,1143.5,1108.5,1137.5,116690,1104.75,237337,431251,802536,201611
2016-06-24,1133.75,1142.25,1105.25,1111.25,156460,1078.5,327591,422430,804996,201611
2016-06-23,1149,1156.75,1133.25,1134.25,130845,1101.5,290142,432709,862922,201611
2016-06-22,1141.25,1156.25,1135.75,1149.5,121857,1116.75,294474,428109,867426,201611
2016-06-21,1167.25,1173.5,1142.75,1143.5,116859,1110.75,292152,418586,865099,201611
2016-06-20,1173.25,1176,1158.75,1165.5,90174,1132.75,193686,420608,886932,201611
2016-06-17,1150.25,1181.75,1149.25,1181,118908,1148.25,280791,418937,893075,201611
2016-06-16,1168.75,1175.5,1141,1152,127296,1119.25,300405,400112,878899,201611
2016-06-15,1183.5,1189.5,1169,1171.25,91742,1138.5,252117,395052,885564,201611
2016-06-14,1190.25,1191,1170,1182,112875,1149.25,308806,392342,882500,201611
2016-06-13,1210.25,1219,1189.75,1191.75,140587,1159,382084,386326,893151,201611
2016-06-10,1184.5,1217.25,1182.75,1195.5,172520,1162.75,500094,372589,886734,201611
2016-06-09,1179.75,1190.25,1168.25,1185.5,118900,1152.75,327631,353783,879968,201611
2016-06-08,1149.75,1198.75,1147.5,1187.25,194856,1177.75,446592,273414,877622,201607
2016-06-07,1146.25,1158.25,1138.5,1150.75,159669,1141.25,355400,289583,872273,201607
2016-06-06,1152.75,1171.5,1145.5,1147.75,131250,1138.25,289711,316115,876222,201607
2016-06-03,1151.5,1178.5,1136.75,1141.5,188388,1132,404848,335677,878852,201607
2016-06-02,1110.75,1155.5,1110.25,1153.75,233772,1144.25,497781,358239,888843,201607
2016-06-01,1088.25,1112,1077.5,1109.25,158403,1099.75,284592,367261,894004,201607
2016-05-31,1095.5,1105.5,1086.5,1088,115268,1078.5,216550,368042,885635,201607
2016-05-27,1088.5,1100.25,1081.25,1096,123316,1086.5,238273,375232,885957,201607
2016-05-26,1094.25,1107.5,1082.75,1089.25,153388,1079.75,294145,375548,879937,201607
2016-05-25,1066.25,1097.5,1064.25,1095,153001,1085.5,304278,389703,880193,201607
2016-05-24,1067,1079.25,1053,1064.25,143916,1054.75,272137,385408,869742,201607
2016-05-23,1083.75,1088.5,1061.5,1068,138858,1058.5,281090,381056,855443,201607
2016-05-20,1081.25,1097,1072.75,1083.75,207878,1074.25,426977,387318,854034,201607
2016-05-19,1083.25,1084.25,1060.5,1081,159865,1071.5,297059,386825,856500,201607
2016-05-18,1089,1097.5,1073.25,1084.75,143649,1075.25,286935,390000,854098,201607
2016-05-17,1073.25,1096.25,1072.25,1089.75,134099,1080.25,261080,398277,856259,201607
2016-05-16,1072.5,1081.25,1064.5,1074,99920,1064.5,185266,391722,833533,201607
2016-05-13,1080.75,1085,1067,1074.5,113596,1065,201808,390598,831007,201607
2016-05-12,1088,1099.25,1072.25,1081.5,187880,1072,341055,392611,830448,201607
2016-05-11,1089,1100.5,1082.5,1087.75,166886,1078.25,317570,404249,826584,201607
2016-05-10,1035.25,1101,1033,1093.5,305876,1084,571446,421001,834128,201607
2016-05-09,1046,1053.5,1028.5,1036,131994,1026.5,210561,414810,803899,201607
2016-05-06,1022,1048,1018,1044.25,144530,1034.75,226600,423213,809630,201607
2016-05-05,1044,1057,1020.75,1021.75,202432,1012.25,347170,419479,804918,201607
2016-05-04,1036.5,1055.25,1031.5,1043.5,180104,1034,312926,427840,811312,201607
2016-05-03,1053.25,1066.5,1032.5,1039.5,223786,1030,398289,418915,794400,201607
2016-05-02,1039.25,1054.5,1030,1053.25,134434,1043.75,220614,428028,801175,201607
2016-04-29,1034.5,1047.75,1027.75,1039.25,149917,1029.75,247400,422837,794225,201607
2016-04-28,1034.25,1055.75,1027.5,1037,201131,1027.5,364561,425770,800492,201607
2016-04-27,1035.75,1039.25,1020.25,1038,211123,1028.5,411932,419595,805229,201607
2016-04-26,1018.75,1037.75,1011,1036.75,216279,1027.25,412897,418518,807402,201607
2016-04-25,1004,1039.25,995.75,1019.25,249567,1009.75,459881,416911,824536,201607
2016-04-22,1035,1035.5,997.75,1005.75,263877,996.25,540063,404834,822425,201607
2016-04-21,1025.5,1053.25,1020.75,1037,300834,1027.5,645958,389383,858563,201607
2016-04-20,1000.25,1030.5,994.5,1028.5,335099,1019,804244,379859,859052,201607
2016-04-19,972.25,1005.5,971.25,1004.25,246952,994.75,615075,384902,895583,201607
2016-04-18,972.5,982.25,967.25,972.5,132482,963,379218,368731,889808,201607
2016-04-15,964.75,976,964,973.75,125729,964.25,367695,350256,875093,201607
2016-04-14,974,977.5,963.25,965.75,134760,956.25,389091,336006,869940,201607
2016-04-13,955.75,975.5,955,973.5,249399,955.75,533410,253421,859636,201605
2016-04-12,945.25,956.5,942.5,954,220988,936.25,460159,265238,840936,201605
2016-04-11,934,947.25,933.25,946,182496,928.25,366869,279124,822615,201605
2016-04-08,923,934.75,920.75,934.5,157543,916.75,293208,293828,804169,201605
2016-04-07,925.75,927.5,921.25,922.25,133446,904.5,253934,296239,780665,201605
2016-04-06,922,927.5,918.75,925.75,119318,908,214573,314264,778196,201605
2016-04-05,929.25,934.25,921.75,922.5,124866,904.75,229125,316477,772217,201605
2016-04-04,936.25,940,930.5,931.25,104289,913.5,175764,332499,780300,201605
2016-04-01,927,937.75,926,936,126750,918.25,214899,336799,776553,201605
2016-03-31,926.25,931.75,906,928.5,216652,910.75,361828,341441,773850,201605
2016-03-30,933,934.75,926,926.75,126146,909,215142,339142,760163,201605
2016-03-29,926,934.75,924.75,933.75,127052,916,213077,348318,763700,201605
2016-03-28,928.75,932.5,924,926.75,91130,909,178084,344743,753670,201605
2016-03-24,923,929.5,919.75,928.25,118016,910.5,195656,346989,750357,201605
2016-03-23,927.25,930.25,919.25,923,119595,905.25,188016,349137,749631,201605
2016-03-22,919.25,931.75,917.75,928,181690,910.25,293314,352036,749752,201605
2016-03-21,912.75,922.75,910,919.75,109825,902,174758,342732,729175,201605
2016-03-18,914.75,922.5,913.75,915.25,80428,897.5,128879,343834,730304,201605
2016-03-17,912.75,922.25,911.25,915.5,148891,897.75,237755,341789,725686,201605
2016-03-16,909.25,912.5,903.75,912.25,94822,894.5,144487,339488,715654,201605
2016-03-15,912.5,913.25,906.25,909.75,101683,892,157048,336063,710513,201605
2016-03-14,910.25,914.75,908,913.5,98258,895.75,150533,334815,707986,201605
2016-03-11,905.25,914.5,904.75,913.5,117842,895.75,198127,327884,700498,201605
2016-03-10,902.75,907.75,899,907,112174,889.25,184033,323318,694971,201605
2016-03-09,901.25,905.75,898,903.5,120895,885.75,198472,329156,698471,201605
2016-03-08,898.25,903,893,902.25,105213,884.5,169905,330388,696854,201605
2016-03-07,899,905.25,898,899.5,148126,881.75,242405,328861,694691,201605
2016-03-04,881.5,897,881.5,896.25,188596,878.5,310769,343964,701541,201605
2016-03-03,878.75,883.25,875.25,881.5,78485,863.75,129612,349502,702904,201605
2016-03-02,876,882.5,873.75,879.25,122926,861.5,201156,347226,702242,201605
2016-03-01,878.75,884.25,874.75,875.75,112801,858,182262,345469,701548,201605
2016-02-29,880.5,882.75,877.75,878.75,99890,861,163113,341385,695325,201605
2016-02-26,884.25,886.75,879.5,881.25,137801,863.5,249854,339818,694633,201605
2016-02-25,889.75,894,882.75,883.25,145513,865.5,296613,325244,696646,201605
2016-02-24,891,892.75,887,890,137651,872.25,293633,309769,698980,201605
2016-02-23,901,901.25,889,890.75,149104,873,344193,301291,713828,201605
2016-02-22,901.75,907.75,900.25,902,131043,884.25,343640,292522,724590,201605
2016-02-19,900,902.25,898,898.5,80672,880.75,239183,278862,732344,201605
2016-02-18,902.25,903.25,898.5,900.5,77975,882.75,242258,270778,735745,201605
2016-02-17,898.75,904.75,897,903,129039,885.25,353848,267804,753457,201605
2016-02-16,897.25,903.75,894,900.25,100984,882.5,316658,254361,746016,201605
2016-02-12,893.5,896,889,893.25,91788,872.75,185913,206664,734630,201603
2016-02-11,882.75,894.75,882.5,894,145579,873.5,263110,219330,742559,201603
2016-02-10,884,886.75,882,882.75,112212,862.25,210538,230729,735629,201603
2016-02-09,883.25,887,880,883.75,136517,863.25,258699,243044,736229,201603
2016-02-08,888,889.25,882,883,114019,862.5,195302,256337,725933,201603
2016-02-05,896.25,899.5,887.75,888,150936,867.5,266516,264617,719936,201603
2016-02-04,898.5,904.75,893.25,895,160779,874.5,308387,282141,722608,201603
